what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
can you reserve on 19 nov 2019 for 12 persons,Restaurant->Restaurant availability#find table{'date'= '19 nov'|1|'19 nov 2019'; 'number of people'= 'for 12'|1|'12 persons')}
confirm my table for 5:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 pm in the evening')}
find me bristol restaurants,/->/search-listings/#search{'restaurant name or location'= 'bristol'|0|'bristol')}
can they accomodate 2 persons on july 15 2019,Restaurant->Restaurant availability#find table{'date'= '15 jul'|1|'july 15  2019'; 'number of people'= 'for 2'|1|'2 persons')}
Is the restaurant available at 4:30 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 in the afternoon')}
how booked it is on 3 dec 2019,Restaurant->Restaurant availability#find table{'date'= '3 dec'|1|'3 dec 2019')}
what about a table here at 3:00 morning time for the 8 of us,Restaurant->Restaurant availability#find table{'time'= '3:00'|1|'3:00 morning time'; 'number of people'= 'for 8'|1|'the 8 of us')}
I would like for you to make this reservation for me for 6:45 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
can they accomodate the 7 of us on 30 dec 2019,Restaurant->Restaurant availability#find table{'date'= '30 dec'|1|'30 dec 2019'; 'number of people'= 'for 7'|1|'the 7 of us')}
what's the availability on july 24 2019 for 9 guests,Restaurant->Restaurant availability#find table{'date'= '24 jul'|1|'july 24  2019'; 'number of people'= 'for 9'|1|'9 guests')}
finalize the reservation for 8:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 in the evening')}
is it available on september 17 2019 at 2:30,Restaurant->Restaurant availability#find table{'time'= '2:30'|1|'2:30'; 'date'= '17 sep'|1|'september 17  2019')}
can I view more details on jamies st mary at hill,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'jamies st mary at hill'|1|'jamies st mary at hill')}
is it available for 7 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|"7 o'clock")}
can I book on september 24 2019 at 9 am time for 6 persons,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9 am time'; 'date'= '24 sep'|1|'september 24  2019'; 'number of people'= 'for 6'|1|'6 persons')}
can I book on 9 oct 2019 at 12:30 pm in the night for a group of 12 friends,Restaurant->Restaurant availability#find table{'time'= '0:30'|1|'12:30 pm in the night'; 'date'= '9 oct'|1|'9 oct 2019'; 'number of people'= 'for 12'|1|'a group of 12 friends')}
can I book on 3 sep 2019 at 11:30 pm time for about 8 people,Restaurant->Restaurant availability#find table{'time'= '23:30'|1|'11:30 pm time'; 'date'= '3 sep'|1|'3 sep 2019'; 'number of people'= 'for 8'|1|'about 8 people')}
can they accomodate 9 persons on november 11 2019,Restaurant->Restaurant availability#find table{'date'= '11 nov'|1|'november 11  2019'; 'number of people'= 'for 9'|1|'9 persons')}
get a table here for 5:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 in the evening')}
reserve for brian smith and specify mark_taylor@outlook.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'smith'|0|'smith'; 'phone number'= '3124569876'|0|'3124569876')}
jamies st mary at hill may work can you tell me more about it,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'jamies st mary at hill'|1|'jamies st mary at hill')}
I would like for you to make this reservation for me for 5:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 in the evening')}
reserve this one and give brian smith as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'brian'|0|'brian'; 'last name'= 'smith'|0|'smith')}
is it available on 27 aug 2019 at 4:00 pm time,Restaurant->Restaurant availability#find table{'time'= '16:00'|1|'4:00 pm time'; 'date'= '27 aug'|1|'27 aug 2019')}
can I get a table here for 7:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 evening time')}
show me edinburgh,/->/city-restaurants#search{'search by name or location'= 'edinburgh'|0|'edinburgh')}
how booked it is on july 25 2019,Restaurant->Restaurant availability#find table{'date'= '25 jul'|1|'july 25  2019')}
yes reserve this resturant for 6:45 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm in the evening')}
complete the reservation for 7:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 pm in the evening')}
can you reserve on december 10 2019 for a group of 8 friends,Restaurant->Restaurant availability#find table{'date'= '10 dec'|1|'december 10  2019'; 'number of people'= 'for 8'|1|'a group of 8 friends')}
is it available on 2 aug 2019 at 7:30 evening time,Restaurant->Restaurant availability#find table{'time'= '19:30'|1|'7:30 evening time'; 'date'= '2 aug'|1|'2 aug 2019')}
can I book on 21 aug 2019 at 5 am time for 11 people,Restaurant->Restaurant availability#find table{'time'= '5:00'|1|'5 am time'; 'date'= '21 aug'|1|'21 aug 2019'; 'number of people'= 'for 11'|1|'11 people')}
yes reserve this resturant for 7 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 pm time')}
can you reserve on september 24 2019 for just for 11,Restaurant->Restaurant availability#find table{'date'= '24 sep'|1|'september 24  2019'; 'number of people'= 'for 11'|1|'just for 11')}
reserve for joseph miller and specify david123@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'joseph'|0|'joseph'; 'last name'= 'miller'|0|'miller'; 'phone number'= '3122345786'|0|'3122345786')}
is it available on november 13 2019 at 5 in the morning,Restaurant->Restaurant availability#find table{'time'= '5:00'|1|'5 in the morning'; 'date'= '13 nov'|1|'november 13  2019')}
reserve for eric fanet and specify mark_taylor@outlook.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'eric'|0|'eric'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '3124569876'|0|'3124569876')}
is it available for 4:00 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 pm in the afternoon')}
I want to reserve for 5:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 evening time')}
is there anything in borough,/search-listings/->/search-listings/#location{'location'= 'borough'|1|'borough')}
I need a reservation at this place at 7:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 evening time')}
I only want french restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'french'|1|'french')}
make the reservation now for 8:15 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'8:15 in the evening')}
place the reservation for 17:00,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'17:00')}
can you reserve on 19 nov 2019 for a group of 9 friends,Restaurant->Restaurant availability#find table{'date'= '19 nov'|1|'19 nov 2019'; 'number of people'= 'for 9'|1|'a group of 9 friends')}
anything free at 7:30,Restaurant->Restaurant availability#find table{'time'= '7:30'|1|'7:30')}
can you reserve on 16 oct 2019 for just for 12,Restaurant->Restaurant availability#find table{'date'= '16 oct'|1|'16 oct 2019'; 'number of people'= 'for 12'|1|'just for 12')}
what's the avaiability on 11 oct 2019,Restaurant->Restaurant availability#find table{'date'= '11 oct'|1|'11 oct 2019')}
show me only vegetarian restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'vegetarian'|1|'vegetarian')}
what's the availability on 12 dec 2019 for about 9 people,Restaurant->Restaurant availability#find table{'date'= '12 dec'|1|'12 dec 2019'; 'number of people'= 'for 9'|1|'about 9 people')}
reserve for joseph fanet and specify mark_taylor@outlook.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'joseph'|0|'joseph'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '3122345786'|0|'3122345786')}
what's the avaiability on august 5 2019,Restaurant->Restaurant availability#find table{'date'= '5 aug'|1|'august 5  2019')}
confirm my table for 7 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 in the evening')}
I need a reservation at this place at 6:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 evening time')}
confirm my table for 6 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6 pm time')}
can I book on november 15 2019 at 12 night time for the 4 of us,Restaurant->Restaurant availability#find table{'time'= '0:00'|1|'12 night time'; 'date'= '15 nov'|1|'november 15  2019'; 'number of people'= 'for 4'|1|'the 4 of us')}
book me this restaurant at 8:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 pm in the evening')}
anything free at 2:30 afternoon time,Restaurant->Restaurant availability#find table{'time'= '14:30'|1|'2:30 afternoon time')}
can they accomodate a party of 9 people on october 2 2019,Restaurant->Restaurant availability#find table{'date'= '2 oct'|1|'october 2  2019'; 'number of people'= 'for 9'|1|'a party of 9 people')}
can I get a table here for 6:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm time')}
I want to reserve for 6:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 evening time')}
what's the availability on 26 nov 2019 for a group of 6 friends,Restaurant->Restaurant availability#find table{'date'= '26 nov'|1|'26 nov 2019'; 'number of people'= 'for 6'|1|'a group of 6 friends')}
how booked it is on 13 sep 2019,Restaurant->Restaurant availability#find table{'date'= '13 sep'|1|'13 sep 2019')}
is 5:30 pm time still available,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 pm time')}
reserve for eric miller and specify tom.fanet@gmail.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'eric'|0|'eric'; 'last name'= 'miller'|0|'miller'; 'phone number'= '7741234567'|0|'7741234567')}
what's the avaiability on 25 sep 2019,Restaurant->Restaurant availability#find table{'date'= '25 sep'|1|'25 sep 2019')}
can I book on november 4 2019 at 1:30 am time for just for 9,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30 am time'; 'date'= '4 nov'|1|'november 4  2019'; 'number of people'= 'for 9'|1|'just for 9')}
can I book on 11 nov 2019 at 2:00 for about 6 people,Restaurant->Restaurant availability#find table{'time'= '2:00'|1|'2:00'; 'date'= '11 nov'|1|'11 nov 2019'; 'number of people'= 'for 6'|1|'about 6 people')}
do they have any table left on september 24 2019,Restaurant->Restaurant availability#find table{'date'= '24 sep'|1|'september 24  2019')}
can I book on 26 jul 2019 at 19:30 for a party of 12 people,Restaurant->Restaurant availability#find table{'time'= '19:30'|1|'19:30'; 'date'= '26 jul'|1|'26 jul 2019'; 'number of people'= 'for 12'|1|'a party of 12 people')}
can they accomodate 9 guests on september 23 2019,Restaurant->Restaurant availability#find table{'date'= '23 sep'|1|'september 23  2019'; 'number of people'= 'for 9'|1|'9 guests')}
can they accomodate 9 persons on september 23 2019,Restaurant->Restaurant availability#find table{'date'= '23 sep'|1|'september 23  2019'; 'number of people'= 'for 9'|1|'9 persons')}
can you reserve on 3 oct 2019 for me and 2 sons,Restaurant->Restaurant availability#find table{'date'= '3 oct'|1|'3 oct 2019'; 'number of people'= 'for 3'|1|'me and 2 sons')}
details on hutong at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'hutong at the shard'|1|'hutong at the shard')}
can I book on 1 oct 2019 at 7:00 in the evening for 11 persons,Restaurant->Restaurant availability#find table{'time'= '19:00'|1|'7:00 in the evening'; 'date'= '1 oct'|1|'1 oct 2019'; 'number of people'= 'for 11'|1|'11 persons')}
is 6:30 evening time still available,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 evening time')}
can they accomodate a party of 10 people on 23 sep 2019,Restaurant->Restaurant availability#find table{'date'= '23 sep'|1|'23 sep 2019'; 'number of people'= 'for 10'|1|'a party of 10 people')}
